"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum","Note"
"1","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11","11","LED_GREEN","LED_THT:LED_D3.0mm","","","",""
"2","J1","1","Conn_02x08_Odd_Even","Eurorack:PinHeader_2x08_P2.54mm_Vertical","","Tayda","A-2956",""
"3","J2","1","OUT1","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"4","J3","1","OUT2","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"5","J4","1","OUT3","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"6","J5","1","OUT4","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"7","J6","1","OUT5","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"8","J7","1","OUT6","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"9","J8","1","OUT7","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"10","J9","1","OUT12","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"11","J10","1","OUT24","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"12","J11","1","OUT47","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"13","J12","1","OUT1247","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"14","R1, R3, R5, R7, R9, R11, R13, R15, R17, R19, R21","11","1K","Resistor_SMD:R_0805_2012Metric","","","",""
"15","R2, R4, R6, R8, R10, R12, R14, R16, R18, R20, R22","11","2K","Resistor_SMD:R_0805_2012Metric","","","",""
"16","U1","1","4081","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","Mouser","595-CD4081BPWR",""
